bucket,number,state,resolution_class,solved,is_meta,signal_score,relevancy_score,combined_score,n_comments,n_participants,n_xref_merged_prs,reactions_total,reopened,labels,created_at,title,url
3,1989,closed,fixed_stated,True,False,0.6232,0.6893,0.6562,13,4,0,0,0,bug|ci,2023-02-17T03:08:29Z,MAVSDK verson on macOS aarch64,https://github.com/mavlink/MAVSDK/issues/1989
3,1307,closed,fixed_merged_pr,True,False,0.5211,0.7795,0.6503,15,2,1,0,0,enhancement,2021-02-04T02:08:33Z,Offboard doesnt want to enable after a is_active() check. ,https://github.com/mavlink/MAVSDK/issues/1307
1,3018,open,open,,False,0.4476,0.8485,0.6481,7,3,0,0,1,,2026-07-26T18:30:07Z,mavsdk.pc forces bundled private dependencies on shared-library consumers,https://github.com/mavlink/MAVSDK/issues/3018
3,151,closed,fixed_merged_pr,True,False,0.4833,0.8126,0.648,6,2,2,0,0,bug,2017-11-05T23:54:28Z,External library may not work and is not providing errors,https://github.com/mavlink/MAVSDK/issues/151
3,1805,closed,fixed_stated,True,False,0.6152,0.6808,0.648,30,3,0,0,0,,2022-06-13T22:37:26Z,Param Server - exception when using custom string parameter,https://github.com/mavlink/MAVSDK/issues/1805
0,401,closed,fixed_merged_pr,True,False,0.3098,0.97,0.6399,1,2,1,0,0,bug,2018-05-21T05:37:33Z,transition_vtol_fixed_wing example never ready to arm,https://github.com/mavlink/MAVSDK/issues/401
3,2211,closed,answered,True,False,0.6041,0.6721,0.6381,15,5,0,0,0,,2024-01-12T20:05:43Z,Mission Upload issues with Mavsdk Java and Ardupilot,https://github.com/mavlink/MAVSDK/issues/2211
3,2639,closed,fixed_merged_pr,True,False,0.4911,0.7794,0.6352,13,2,1,0,0,bug,2025-08-12T14:30:37Z,Bus error on Raspberry Pi with 3.9.0,https://github.com/mavlink/MAVSDK/issues/2639
3,992,closed,answered,True,False,0.6779,0.5875,0.6327,18,7,0,0,1,question,2020-02-18T09:22:46Z,takeoff_and_land error (fatal error: plugin_base.h: No such file or directory),https://github.com/mavlink/MAVSDK/issues/992
3,1785,closed,fixed_merged_pr,True,False,0.43,0.8323,0.6311,7,2,1,0,0,bug,2022-05-21T08:59:13Z,get_all_params error (std::future_error: Promise already satisfied),https://github.com/mavlink/MAVSDK/issues/1785
1,967,open,open,,False,0.6179,0.6414,0.6297,15,6,0,0,0,feature,2020-01-27T19:32:44Z,Add Avoidance Plugin to MAVSDK,https://github.com/mavlink/MAVSDK/issues/967
0,1010,closed,fixed_merged_pr,True,False,0.3902,0.869,0.6296,3,1,1,0,0,bug|ci,2020-03-09T09:36:45Z,Passthrough integration test crashes ,https://github.com/mavlink/MAVSDK/issues/1010
3,157,closed,fixed_merged_pr,True,False,0.5052,0.7529,0.629,10,3,1,0,0,,2017-11-09T02:17:21Z,Example fails with library not found after #130,https://github.com/mavlink/MAVSDK/issues/157
0,2273,closed,answered,True,False,0.3567,0.9,0.6283,7,2,0,0,0,bug,2024-04-05T13:09:08Z,Info plugin blocking on async command,https://github.com/mavlink/MAVSDK/issues/2273
